id	user	created_at	source	in_reply_to_status_id	in_reply_to_user_id	in_reply_to_screen_name	retweet_count	text
1459997513272991747	DieRaffa	2021-11-14 21:31:47+00:00	Twitter for iPhone				0	Klimek: Die 10 Tage sind viel zu lange, um abzuwarten und die Maßnahmen zu evakuieren. #Imzentrum
1459997514468311050	RudolfineZ	2021-11-14 21:31:47+00:00	Twitter Web App				0	RT @ORFImZentrum: 💬 „Mit einem vorausschauenden Pandemiemanagement hätte die Bundesregierung die Wucht der 4. Welle reduzieren können. Stat…
1459997550510022662	Fabian_Eder_AUT	2021-11-14 21:31:56+00:00	Twitter for iPad				0	Kein Regierungsvertreter, kein Landeshauptmann hält es für notwendig, in dieser Situation die Kommunikation der Bundesregierung zur Bevölkerung bei #ImZentrum aufzubauen. Aus der #Regierungskrise wird eine #Staatskrise. Bravo.
1459997553198604299	MelanieWurzer	2021-11-14 21:31:56+00:00	Twitter for iPhone				0	Ok ich hätte dich Politiker*innen schreiben sollen, eine war dabei. Eines bleibt: Es ist ein Skandal!
1459997559980756999	herrpaul	2021-11-14 21:31:58+00:00	Twitter for iPhone				0	Wenn die Rauch Kallat den Kurz erwähnt dreh i ab #imzentrum
1459997569862492160	heigion	2021-11-14 21:32:00+00:00	Twitter Web App				0	RT @TomMayerEuropa: Es ist ein langsam unerträglicher Skandal, dass kein Vertreter der Bundesregierung, kein Landeshauptmann, kein ÖVP-Poli…
1459997583179407371	TheophrastusB	2021-11-14 21:32:03+00:00	Twitter for Android				0	Keine Haltung, keine Vision, kein Mut, kein Rückgrat und vor allem, kein Verantwortungsgefühl. Eine Regierung weigert sich fast geschlossen, Rede und Antwort zu stehen.
1459997619401408519	liberda_a	2021-11-14 21:32:12+00:00	Twitter for Android				0	#Impfzentrum statt #imzentrum
1459997626485592067	lukaswww_	2021-11-14 21:32:14+00:00	Twitter Web App				0	Würde sagen Bundesländer, die im Pandemiemanagement gut da stehen &amp; 2G+ mit PCR für alle in (Nacht)Gastro &amp; bei Veranstaltungen umsetzen können, werden von Ausgangssperre/Lockdown ausgenommen. Also Wien. #ZIB2 #ImZentrum
1459997633154535429	Vinceblackshad1	2021-11-14 21:32:15+00:00	Twitter Web App				0	RT @ORFImZentrum: 💬 „Mit einem vorausschauenden Pandemiemanagement hätte die Bundesregierung die Wucht der 4. Welle reduzieren können. Stat…
1459997641241210889	BMLoidl	2021-11-14 21:32:17+00:00	Twitter for iPhone				0	#imzentrum wird wertgeschätzt aber ist nicht Mitglied des Prognosegremiums
